id,states,states_code,state_abbv,year,population
1,Alabama,AL,AL,2010,4785437
2,Alaska,AK,AK,2010,713910
4,Arizona,AZ,AZ,2010,6407172
5,Arkansas,AR,AR,2010,2921964
6,California,CA,CA,2010,37319502
8,Colorado,CO,CO,2010,5047349
9,Connecticut,CT,CT,2010,3579114
10,Delaware,DE,DE,2010,899593
11,District of Columbia,DC,,2010,605226
12,Florida,FL,FL,2010,18845537
13,Georgia,GA,GA,2010,9711881
15,Hawaii,HI,HI,2010,1363963
16,Idaho,ID,ID,2010,1570746
17,Illinois,IL,IL,2010,12840503
18,Indiana,IN,IN,2010,6490432
19,Iowa,IA,IA,2010,3050745
20,Kansas,KS,KS,2010,2858190
21,Kentucky,KY,KY,2010,4348181
22,Louisiana,LA,LA,2010,4544532
23,Maine,ME,ME,2010,1327629
24,Maryland,MD,MD,2010,5788645
25,Massachusetts,MA,MA,2010,6566307
26,Michigan,MI,MI,2010,9877510
27,Minnesota,MN,MN,2010,5310828
28,Mississippi,MS,MS,2010,2970548
29,Missouri,MO,MO,2010,5995974
30,Montana,MT,MT,2010,990697
31,Nebraska,NE,NE,2010,1829542
32,Nevada,NV,NV,2010,2702405
33,New Hampshire,NH,NH,2010,1316762
34,New Jersey,NJ,NJ,2010,8799446
35,New Mexico,NM,NM,2010,2064552
36,New York,NY,NY,2010,19399878
37,North Carolina,NC,NC,2010,9574323
38,North Dakota,ND,ND,2010,674715
39,Ohio,OH,OH,2010,11539336
40,Oklahoma,OK,OK,2010,3759944
41,Oregon,OR,OR,2010,3837491
42,Pennsylvania,PA,PA,2010,12711160
44,Rhode Island,RI,RI,2010,1053959
45,South Carolina,SC,SC,2010,4635649
46,South Dakota,SD,SD,2010,816166
47,Tennessee,TN,TN,2010,6355311
48,Texas,TX,TX,2010,25241971
49,Utah,UT,UT,2010,2775332
50,Vermont,VT,VT,2010,625879
51,Virginia,VA,VA,2010,8023699
53,Washington,WA,WA,2010,6742830
54,West Virginia,WV,WV,2010,1854239
55,Wisconsin,WI,WI,2010,5690475
56,Wyoming,WY,WY,2010,564487
72,Puerto Rico,PR,PR,2010,3721525
1,Alabama,AL,AL,2011,4799069
2,Alaska,AK,AK,2011,722128
4,Arizona,AZ,AZ,2011,6472643
5,Arkansas,AR,AR,2011,2940667
6,California,CA,CA,2011,37638369
8,Colorado,CO,CO,2011,5121108
9,Connecticut,CT,CT,2011,3588283
10,Delaware,DE,DE,2011,907381
11,District of Columbia,DC,,2011,619800
12,Florida,FL,FL,2011,19053237
13,Georgia,GA,GA,2011,9802431
15,Hawaii,HI,HI,2011,1379329
16,Idaho,ID,ID,2011,1583910
17,Illinois,IL,IL,2011,12867454
18,Indiana,IN,IN,2011,6516528
19,Iowa,IA,IA,2011,3066336
20,Kansas,KS,KS,2011,2869225
21,Kentucky,KY,KY,2011,4369821
22,Louisiana,LA,LA,2011,4575625
23,Maine,ME,ME,2011,1328284
24,Maryland,MD,MD,2011,5839419
25,Massachusetts,MA,MA,2011,6613583
26,Michigan,MI,MI,2011,9882412
27,Minnesota,MN,MN,2011,5346143
28,Mississippi,MS,MS,2011,2978731
29,Missouri,MO,MO,2011,6010275
30,Montana,MT,MT,2011,997316
31,Nebraska,NE,NE,2011,1840672
32,Nevada,NV,NV,2011,2712730
